url,route_pattern,template,title,h1,meta_description,content_type,category,subcategory,price_aud,featured,badge,photo_count,colour_parts,options_count,material,finish,hex,status_stock,indexable,status,word_count,media_owner,license,migration_decision,source_copy_excerpt,landing_subtext,notes
https://clarky3d.com/?p=Hotwheels/Display_Racks/5x1_Rack,/?p=,product-detail,5x1 Rack — Clarky3D,5x1 Rack,client-generated-from-product,product,Hotwheels,Display Racks,10.00,False,none,1,Uprights|Platforms,0,,,,,yes-via-sitemap,200,20,unknown,unknown,keep,A 5-tier industrial style display rack. Comes Flat Pack style for you to assemble.  Holds:  - 5x 1:64 model cars,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Retro_Gaming/Snes/Cart_Slide_Out_Drawer,/?p=,product-detail,Stackable SNES Drawer (7-Cart) — Clarky3D,Stackable SNES Drawer (7-Cart),client-generated-from-product,product,Retro Gaming,Snes,65.00,True,new,1,Outer Shell|Draw,0,,,,,yes-via-sitemap,200,34,unknown,unknown,keep,"A clean, modular storage solution for the retro hoarder.  This pull-out drawer perfectly secures seven SNES cartridges, keeping them dust-free and ready to play.   Need more space?",,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Misc_Items/Drinks/Can_Holder,/?p=,product-detail,Can Holder — Clarky3D,Can Holder,client-generated-from-product,product,Misc Items,Drink Holders,0.00,False,none,0,,0,,,,,yes-via-sitemap,200,69,unknown,unknown,keep,Want to be the center of attention at your next gathering? Stand out with one of these bad boys. Slap a can in and enjoy easy care free sipping!  Picture To Come!  Select Any Colou,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Misc_Items/Key_Rings/Trolley_Key,/?p=,product-detail,Trolley Key — Clarky3D,Trolley Key,client-generated-from-product,product,Misc Items,Key Rings,0.00,False,none,0,,0,,,,,yes-via-sitemap,200,67,unknown,unknown,keep,Don't carry coins becasue you're not a boomer? Then this little dohickey is your saviour Slap this bad boy in the coin slot of your trolley!  Picture To Come!   Colour Options:  - ,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/3ml_Cases/Medium_Case_3ml_10x2,/?p=,product-detail,Medium Case 3ml 10x2 — Clarky3D,Medium Case 3ml 10x2,client-generated-from-product,product,Pep Things,Cases,20.00,False,none,1,Lid / Base|Latches|Inlay,0,,,,,yes-via-sitemap,200,14,unknown,unknown,keep,Handy for storing your lyophilized vials in the freezer.  Holds:  - 10x 3ml Vials,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/3ml_Cases/Base_Case,/?p=,product-detail,Modular Case — Clarky3D,Modular Case,client-generated-from-product,product,Pep Things,Cases,25.00,True,popular,3,Lid / Base|Latches|Inlay,1,,,,,yes-via-sitemap,200,93,unknown,unknown,keep,"The Modular Case  Why cram mismatched vials into a generic box?  This case is built around custom inserts, letting you dictate exactly how your insulin is stored right from the sta",,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/3ml_Cases/The_Secure_Crumpet,/?p=,product-detail,The Secure Crumpet Custom Trays — Clarky3D,The Secure Crumpet Custom Trays,client-generated-from-product,product,Pep Things,Cases,90.00,True,new,3,Top Tray|Bottom Tray,0,,,,,yes-via-sitemap,200,88,unknown,unknown,keep,"Let's be real, you probably don't want your vial inventory on full display in your fridge.  These custom inserts for the Extra Small Toolpro case provide serious containment and pr",,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Labeling/Mini_Labeler,/?p=,product-detail,Mini Label Helper — Clarky3D,Mini Label Helper,client-generated-from-product,product,Pep Things,Labeling,15.00,True,new,1,,0,,,,,yes-via-sitemap,200,33,unknown,unknown,keep,This small hand held labeler makes it easy to apply printed labels from your Niimbot  Slip your 3ml Vial inside and slide in the label sticky side in. Little to no skill required.,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Labeling/Label_Helper_Stand,/?p=,product-detail,Label Helper Stand — Clarky3D,Label Helper Stand,client-generated-from-product,product,Pep Things,Labeling,15.00,True,new,1,,0,,,,,yes-via-sitemap,200,31,unknown,unknown,keep,"This one is for the more advanced label wizards.  Slip your 3ml Vial inside and slap on your label printed from your Niimbot More skill required, not ideal for M.J Fox",,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Labeling/Ten_One_Case,/?p=,product-detail,Ten + One Case — Clarky3D,Ten + One Case,client-generated-from-product,product,Pep Things,Labeling,25.00,True,new,1,Lid / Base|Latches|Internal Insert,0,,,,,yes-via-sitemap,200,32,unknown,unknown,keep,"A clean, custom storage solution built specifically to pair your 10ml vials with their essential sidekick.  This layout cleanly separates ten 10ml slots with an extra dedicated spo",,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Labeling/Bulk_50_Case,/?p=,product-detail,Bulk 50 Case — Clarky3D,Bulk 50 Case,client-generated-from-product,product,Pep Things,Labeling,60.00,True,new,1,Lid /Base|Latches|Inlay,0,,,,,yes-via-sitemap,200,38,unknown,unknown,keep,"Built specifically for the bulk buyers and the highly prepared. If your fridge is starting to look like a chaotic pharmacy, this custom-fit case locks down fifty 3ml vials so they ",,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Travel_Cases/Travel_Case_1,/?p=,product-detail,Travel Case 1 — Clarky3D,Travel Case 1,client-generated-from-product,product,Pep Things,Travel Cases,35.00,False,none,1,Lid / Base|Latch,0,,,,,yes-via-sitemap,200,23,unknown,unknown,keep,Compact durable case for travel. Large area to hold insulin needles and other goodies.  Holds:  - 10x 3ml Vials  - 1x 10 Vial,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Travel_Cases/Travel_Case_with_Cooling,/?p=,product-detail,Travel Case with Cooling — Clarky3D,Travel Case with Cooling,client-generated-from-product,product,Pep Things,Travel Cases,35.00,True,new,1,Lid / Base|Latches|Inlay,0,,,,,yes-via-sitemap,200,34,unknown,unknown,keep,Compact durable case for travel. Area to hold insulin needles and other goodies. Compartment below the tray to store a freezer pack.  Holds:  - 4x 3ml Vials  - 1x cool pack under t,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Misc_Items/Labeled_Vial_Caps,/?p=,product-detail,Labeled Vial Caps — Clarky3D,Labeled Vial Caps,client-generated-from-product,product,Pep Things,Misc Items,2.00,True,popular,2,Cap|Label,0,,,,,yes-via-sitemap,200,46,unknown,unknown,keep,Is your peptide stash starting to look like a high-stakes game of Memory? Pop these little do-hickeys on and save your brainpower.  These little beauties mean the guessing game is ,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Pens/Novopen_4_Spacers,/?p=,product-detail,NovoPen 4 Spacers — Clarky3D,NovoPen 4 Spacers,client-generated-from-product,product,Pep Things,Pens,10.00,True,popular,4,,0,,,,,yes-via-sitemap,200,63,unknown,unknown,keep,NovoPen 4 Spacers [10-Pack] Precision printed specifically for the NovoPen 4.  Will they fit other NovoPen models? That is a mystery we leave to the bravest among you to solve.   B,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/?p=Vial_Storage/Pens/Pen_Storage_9,/?p=,product-detail,9 Pen Silo — Clarky3D,9 Pen Silo,client-generated-from-product,product,Pep Things,Pens,35.00,True,none,1,Base|Lid,0,,,,,yes-via-sitemap,200,68,unknown,unknown,keep,The 9 Pen Silo Got your insulin pens rolling around the fridge drawer like a disorganised pharmacy?  Not anymore. This heavy-duty storage cylinder corrals the chaos and locks them ,,Observed live catalogue content; do not invent outcomes
https://clarky3d.com/#colours,/#colours,colours,Filament: White,,,filament,,,,,,,,,PLA,Matte,#ffffff,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Black,,,filament,,,,,,,,,PLA,Matte,#000000,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Red,,,filament,,,,,,,,,PLA,Standard,#ff0000,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Sea Blue,,,filament,,,,,,,,,PLA,Matte,#00629b,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Black,,,filament,,,,,,,,,PLA,Standard,#000000,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: White,,,filament,,,,,,,,,PLA,Standard,#ffffff,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Burnt Grey,,,filament,,,,,,,,,PLA,Matte,#4b4f54,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Dirty Purple,,,filament,,,,,,,,,PLA,Matte,#7e5475,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Stepped On Orange,,,filament,,,,,,,,,PLA,Matte,#ff8f1c,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Leaf Green,,,filament,,,,,,,,,PLA,Matte,#4b9560,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Pink,,,filament,,,,,,,,,PLA,Standard,#ff80ff,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Grey Marble,,,filament,,,,,,,,,PLA,Marble,#c0c0c0,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Purple,,,filament,,,,,,,,,PLA,Silk,#8000ff,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/#colours,/#colours,colours,Filament: Rainbow Matte,,,filament,,,,,,,,,PLA,Gradient,#00e5ff,In Stock,partial,200,0,n/a,n/a,keep,,,From /api/filaments
https://clarky3d.com/,/,home/featured,Landing intro settings,,,site-settings,,,,,,,,,,,,,n/a,200,23,n/a,n/a,keep,"I'm always adding new products, so keep an eye out for new additions. Checkout the latest releases below or checkout the catalogue above.",All items are print on demand.,From bootstrap.settings
